"ID","TYPE","CURRENT_LOCATION","NEXT_LOCATION","CURRENT_OPERATION_NUMBER","WITH_1","WITH_2","DATETIME_BEGIN","DATETIME_END","DISTANCE_PARCOURUE"
"10","PATIENT","Entree_Generale","Accueil_Attente",NA,NA,NA,"2015-11-12T08:13:06Z","2015-11-12T08:17:17Z",0
"10","PATIENT","Accueil_Attente","Accueil_Attente",NA,NA,NA,"2015-11-12T08:17:17Z","2015-11-12T08:19:27Z",109.991996075682
"10","PATIENT","Accueil_Attente","Accueil_General_2",NA,NA,NA,"2015-11-12T08:19:27Z","2015-11-12T08:19:50Z",109.991996075682
"10","PATIENT","Accueil_General_2","Accueil_General_2",NA,NA,NA,"2015-11-12T08:19:50Z","2015-11-12T08:30:00Z",120.689447672649
"10","PATIENT","Accueil_General_2","Accueil_General_2",1,"ACCUEIL.Agent_Acc_1(1)",NA,"2015-11-12T08:30:00Z","2015-11-12T08:33:50Z",120.689447672649
"10","PATIENT","Accueil_General_2","Accueil_General_2",NA,NA,NA,"2015-11-12T08:33:50Z","2015-11-12T08:33:50Z",120.689447672649
"10","PATIENT","Accueil_General_2","Uro_Attente_1",NA,"ACCUEIL.Agent_Acc_1(1)",NA,"2015-11-12T08:33:50Z","2015-11-12T08:37:02Z",120.689447672649
"10","PATIENT","Uro_Attente_1","Uro_Attente_1",NA,NA,NA,"2015-11-12T08:37:02Z","2015-11-12T08:37:19Z",216.981339802647
"10","PATIENT","Uro_Attente_1","Uro_Box_2",NA,NA,NA,"2015-11-12T08:37:19Z","2015-11-12T08:38:20Z",216.981339802647
"10","PATIENT","Uro_Box_2","Uro_Box_2",NA,NA,NA,"2015-11-12T08:38:20Z","2015-11-12T08:38:20Z",244.799509948662
"10","PATIENT","Uro_Box_2","Uro_Box_2",1,"URO.AS(2)",NA,"2015-11-12T08:38:20Z","2015-11-12T08:39:11Z",244.799509948662
"10","PATIENT","Uro_Box_2","Uro_Box_2",NA,NA,NA,"2015-11-12T08:39:11Z","2015-11-12T08:47:59Z",244.799509948662
"10","PATIENT","Uro_Box_2","Uro_Box_2",2,"URO.MED(3)",NA,"2015-11-12T08:47:59Z","2015-11-12T09:03:42Z",244.799509948662
"10","PATIENT","Uro_Box_2","Uro_Box_2",NA,NA,NA,"2015-11-12T09:03:42Z","2015-11-12T09:03:42Z",244.799509948662
"10","PATIENT","Uro_Box_2","Uro_Attente_1",NA,NA,NA,"2015-11-12T09:03:42Z","2015-11-12T09:04:42Z",244.799509948662
"10","PATIENT","Uro_Attente_1","Uro_Attente_1",NA,NA,NA,"2015-11-12T09:04:42Z","2015-11-12T09:05:21Z",276.747101339534
"10","PATIENT","Uro_Attente_1","Uro_Examen_1",NA,NA,NA,"2015-11-12T09:05:21Z","2015-11-12T09:06:24Z",276.747101339534
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",NA,NA,NA,"2015-11-12T09:06:24Z","2015-11-12T09:06:24Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",1,"URO.IDE(1)",NA,"2015-11-12T09:06:24Z","2015-11-12T09:06:53Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",NA,NA,NA,"2015-11-12T09:06:53Z","2015-11-12T09:06:53Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",2,"URO.IDE(1)",NA,"2015-11-12T09:06:53Z","2015-11-12T09:19:34Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",NA,NA,NA,"2015-11-12T09:19:34Z","2015-11-12T09:24:23Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",3,"URO.MED(3)","URO.IDE(1)","2015-11-12T09:24:23Z","2015-11-12T09:28:49Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",NA,NA,NA,"2015-11-12T09:28:49Z","2015-11-12T09:28:49Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",4,"URO.IDE(1)",NA,"2015-11-12T09:28:49Z","2015-11-12T09:34:52Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Examen_1",NA,NA,NA,"2015-11-12T09:34:52Z","2015-11-12T09:34:52Z",315.252745568452
"10","PATIENT","Uro_Examen_1","Uro_Attente_1",NA,NA,NA,"2015-11-12T09:34:52Z","2015-11-12T09:35:54Z",315.252745568452
"10","PATIENT","Uro_Attente_1","Uro_Attente_1",NA,NA,NA,"2015-11-12T09:35:54Z","2015-11-12T09:36:10Z",350.412377675943
"10","PATIENT","Uro_Attente_1","Uro_Box_3",NA,NA,NA,"2015-11-12T09:36:10Z","2015-11-12T09:36:58Z",350.412377675943
"10","PATIENT","Uro_Box_3","Uro_Box_3",NA,NA,NA,"2015-11-12T09:36:58Z","2015-11-12T09:37:51Z",371.314264429943
"10","PATIENT","Uro_Box_3","Uro_Box_3",2,"URO.MED(3)",NA,"2015-11-12T09:37:51Z","2015-11-12T09:53:51Z",371.314264429943
"10","PATIENT","Uro_Box_3","Uro_Box_3",NA,NA,NA,"2015-11-12T09:53:51Z","2015-11-12T09:53:51Z",371.314264429943
"10","PATIENT","Uro_Box_3","Sortie_Attente",NA,NA,NA,"2015-11-12T09:53:51Z","2015-11-12T09:56:46Z",371.314264429943
"10","PATIENT","Sortie_Attente","Sortie_Attente",NA,NA,NA,"2015-11-12T09:56:46Z","2015-11-12T09:57:11Z",471.357712175658
"10","PATIENT","Sortie_Attente","Sortie_Bureau_2",NA,NA,NA,"2015-11-12T09:57:11Z","2015-11-12T09:57:21Z",471.357712175658
"10","PATIENT","Sortie_Bureau_2","Sortie_Bureau_2",NA,NA,NA,"2015-11-12T09:57:21Z","2015-11-12T09:57:21Z",476.023449717369
"10","PATIENT","Sortie_Bureau_2","Sortie_Bureau_2",1,"SORTIE_URO.Agent_Sortie(1)",NA,"2015-11-12T09:57:21Z","2015-11-12T09:59:02Z",476.023449717369
"10","PATIENT","Sortie_Bureau_2","Sortie_Bureau_2",NA,NA,NA,"2015-11-12T09:59:02Z","2015-11-12T09:59:02Z",476.023449717369
"10","PATIENT","Sortie_Bureau_2","Sortie_Generale",NA,NA,NA,"2015-11-12T09:59:02Z","2015-11-12T10:03:08Z",476.023449717369
"10","PATIENT","Sortie_Generale",NA,NA,NA,NA,"2015-11-12T10:03:08Z",NA,594.809869464275
"100","PATIENT","Entree_Generale","Accueil_Attente",NA,NA,NA,"2015-11-12T10:44:04Z","2015-11-12T10:46:19Z",0
"100","PATIENT","Accueil_Attente","Accueil_Attente",NA,NA,NA,"2015-11-12T10:46:19Z","2015-11-12T10:50:42Z",136.707334160946
"100","PATIENT","Accueil_Attente","Accueil_Prio_1",NA,NA,NA,"2015-11-12T10:50:42Z","2015-11-12T10:50:53Z",136.707334160946
"100","PATIENT","Accueil_Prio_1","Accueil_Prio_1",NA,NA,NA,"2015-11-12T10:50:53Z","2015-11-12T10:50:53Z",145.937344567349
"100","PATIENT","Accueil_Prio_1","Accueil_Prio_1",1,"ACCUEIL.Agent_Acc_1(3)",NA,"2015-11-12T10:50:53Z","2015-11-12T10:54:38Z",145.937344567349
"100","PATIENT","Accueil_Prio_1","Accueil_Prio_1",NA,NA,NA,"2015-11-12T10:54:38Z","2015-11-12T10:54:38Z",145.937344567349
"100","PATIENT","Accueil_Prio_1","Uro_Attente_1",NA,"ACCUEIL.Agent_Acc_1(3)",NA,"2015-11-12T10:54:38Z","2015-11-12T10:56:14Z",145.937344567349
"100","PATIENT","Uro_Attente_1","Uro_Attente_1",NA,NA,NA,"2015-11-12T10:56:14Z","2015-11-12T10:56:35Z",233.317018125725
"100","PATIENT","Uro_Attente_1","Uro_Box_3",NA,NA,NA,"2015-11-12T10:56:35Z","2015-11-12T10:56:59Z",233.317018125725
"100","PATIENT","Uro_Box_3","Uro_Box_3",NA,NA,NA,"2015-11-12T10:56:59Z","2015-11-12T10:56:59Z",257.968121515756
